what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429541301512
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429541301532
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429541301536
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429541301544
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429541302600
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543281092
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543281536
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543283256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543284449
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543288500
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1429543295867
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429543297699
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429543297739
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543298770
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543323996
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543324476
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543335105
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543335177
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543336357
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429543338109
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429543338725
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543340366
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1429543457734
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1429543461074
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1429543462708
